1017.65	27.7478	2362.7	36.675	1004.58	235.357
501.814	14.0709	1773.69	35.6633	494.506	254.563
831.03	26.3741	1823.87	31.5093	904.464	88.3751
175.492	5.1801	1323.23	33.8782	608.876	215.707
165.894	6.19174	883.747	26.7928	360.709	184.547
870.848	25.9231	1999.37	33.5935	770.287	209.437
494.862	14.7499	1620.47	33.5501	516.599	464.091
335.672	15.4416	808.222	21.7382	370.522	102.028
453.993	11.9937	1886.82	37.8528	474.011	298.892
330.627	16.3843	737.843	20.1796	336.669	70.5466
512.324	18.9192	1245.62	27.0795	348.173	172.912
282.619	8.63167	1354.67	32.7421	543.908	528.141
523.968	20.7246	1163.17	25.2825	437.491	201.711
439.947	11.3339	1946.69	38.8168	591.844	541.126
829.896	25.5998	1880.83	32.4181	571.569	272.73
681.052	20.183	1819.69	33.7438	589.875	470.465
762.531	25.2009	1678.08	30.2581	444.309	398.772
548.876	21.2806	1214.12	25.7923	665.242	164.283
562.024	16.6809	1697.23	33.6928	599.641	479.999
626.253	22.6905	1388	27.5997	315.17	291.297
692.77	25.4363	1434.54	27.2354	361.636	237.741
772.553	24.9589	1730.64	30.9531	686.166	271.926
869.841	29.6568	1730.11	29.3303	501.441	358.824
402.387	16.491	997.768	24.4004	421.308	92.4907
593.315	13.4125	2550.12	44.2358	787.37	578.344
164.704	4.35528	1594.83	37.817	375.353	257.259
232.928	6.2409	1625.92	37.3229	465.16	413.581
216.728	6.05071	1499.7	35.8186	526.532	501.252
523.025	13.8421	1950.73	37.785	989.69	336.015
380.01	8.62814	2319.8	44.0431	990.954	737.164
172.581	5.83177	1048.35	29.5933	463.491	412.273
505.715	17.7034	1321.73	28.566	488.481	194.264
571.224	14.0991	2212.69	40.515	547.028	488.618
206.684	10.7082	579.229	19.3014	160.692	142.296
386.815	14.721	1077.27	26.2765	298.693	247.982
565.14	21.4147	1261.59	26.3903	316	173.212
665.385	25.1412	1365.83	26.466	296.728	202.879
380.314	14.9942	1023.64	25.364	234.774	203.631
610.195	14.5929	2358.65	41.8145	646.118	476.715
496.675	17.1868	1331.81	28.8986	350.704	244.377
335.099	11.047	1255.25	30.3339	505.86	295.048
332.524	7.75172	2172.66	42.8968	1037.6	490.943
