# 400k evts     
20.5	20.1	20.7	21.4
8.3	9.3	10.2	10.2
7.8	8.9	9.7	9.6
4.8	5.5	6.3	5.9
3.8	4.3	5.1	4.6
2.7	3.2	3.9	3.3
19.9	21.3	23.7	20.7
8.0	9.9	11.7	9.8
7.7	9.4	11.2	9.3
4.9	5.7	7.4	5.7
3.9	4.4	5.9	4.4
3.0	3.2	4.4	3.2
31.3	36.6	44.6	44.2
12.3	16.7	21.7	20.8
12.3	16.7	no_data	no_data
7.9	10.2	14.3	12.8
6.3	7.9	11.6	9.9
4.6	5.8	8.8	7.3
