# ATLAS
# ATLAS-1405-7875
# 0 lepton, 2-6 jets, etmiss
# sqrt(s) = 8 TeV
# int(L) = 20.3 fb^-1

Inputfile:
XSect:           2.58061 fb
 Error:          0 fb
MCEvents:        50000
 SumOfWeights:   50000
 SumOfWeights2:  50000
 NormEvents:     52.1768

Cut                       Sum_W  Sum_W2  Acc      N_Norm     
m.6jm_CR05_PT5J           21887  21887   0.43774  22.8399    
m.6jm_CR06_PT6J           14579  14579   0.29158  15.2137    
m.6jm_CR07_dphiMin2J3J    12371  12371   0.24742  12.9096    
m.6jm_CR08_dphiMinMoreJ   10098  10098   0.20196  10.5376    
m.6jm_CR12_Rmeff          7950   7950    0.159    8.29612    
m.6jm_CR13_meffIncl       6739   6739    0.13478  7.03239    
n.6jt_CR01_all            50000  50000   1        52.1768    
n.6jt_CR02_missETjetsPT   27444  27444   0.54888  28.6388    
n.6jt_CR03_PT3J           27264  27264   0.54528  28.451     
n.6jt_CR04_PT4J           25995  25995   0.5199   27.1267    
n.6jt_CR05_PT5J           21887  21887   0.43774  22.8399    
n.6jt_CR06_PT6J           14579  14579   0.29158  15.2137    
n.6jt_CR07_dphiMin2J3J    12371  12371   0.24742  12.9096    
n.6jt_CR08_dphiMinMoreJ   10098  10098   0.20196  10.5376    
n.6jt_CR12_Rmeff          5780   5780    0.1156   6.03164    
n.6jt_CR13_meffIncl       2838   2838    0.05676  2.96156    
o.6jt+_CR01_all           50000  50000   1        52.1768    
o.6jt+_CR02_missETjetsPT  27444  27444   0.54888  28.6388    
o.6jt+_CR03_PT3J          27264  27264   0.54528  28.451     
o.6jt+_CR04_PT4J          25995  25995   0.5199   27.1267    
o.6jt+_CR05_PT5J          21887  21887   0.43774  22.8399    
o.6jt+_CR06_PT6J          14579  14579   0.29158  15.2137    
o.6jt+_CR07_dphiMin2J3J   12371  12371   0.24742  12.9096    
o.6jt+_CR08_dphiMinMoreJ  10098  10098   0.20196  10.5376    
o.6jt+_CR12_Rmeff         9532   9532    0.19064  9.94699    
o.6jt+_CR13_meffIncl      2186   2186    0.04372  2.28117    
