# ATLAS
# ATLAS-1405-7875
# 0 lepton, 2-6 jets, etmiss
# sqrt(s) = 8 TeV
# int(L) = 20.3 fb^-1

Inputfile:
XSect:           130.905 fb
 Error:          0 fb
MCEvents:        50000
 SumOfWeights:   50000
 SumOfWeights2:  50000
 NormEvents:     2646.74

Cut                       Sum_W  Sum_W2  Acc      N_Norm    
m.6jm_CR07_dphiMin2J3J    1875   1875    0.0375   99.2528   
m.6jm_CR08_dphiMinMoreJ   1571   1571    0.03142  83.1606   
m.6jm_CR12_Rmeff          1063   1063    0.02126  56.2697   
m.6jm_CR13_meffIncl       427    427     0.00854  22.6032   
n.6jt_CR01_all            50000  50000   1        2646.74   
n.6jt_CR02_missETjetsPT   20172  20172   0.40344  1067.8    
n.6jt_CR03_PT3J           18463  18463   0.36926  977.336   
n.6jt_CR04_PT4J           13245  13245   0.2649   701.122   
n.6jt_CR05_PT5J           6531   6531    0.13062  345.717   
n.6jt_CR06_PT6J           2269   2269    0.04538  120.109   
n.6jt_CR07_dphiMin2J3J    1875   1875    0.0375   99.2528   
n.6jt_CR08_dphiMinMoreJ   1571   1571    0.03142  83.1606   
n.6jt_CR12_Rmeff          567    567     0.01134  30.0141   
n.6jt_CR13_meffIncl       87     87      0.00174  4.60533   
o.6jt+_CR01_all           50000  50000   1        2646.74   
o.6jt+_CR02_missETjetsPT  20172  20172   0.40344  1067.8    
o.6jt+_CR03_PT3J          18463  18463   0.36926  977.336   
o.6jt+_CR04_PT4J          13245  13245   0.2649   701.122   
o.6jt+_CR05_PT5J          6531   6531    0.13062  345.717   
o.6jt+_CR06_PT6J          2269   2269    0.04538  120.109   
o.6jt+_CR07_dphiMin2J3J   1875   1875    0.0375   99.2528   
o.6jt+_CR08_dphiMinMoreJ  1571   1571    0.03142  83.1606   
o.6jt+_CR12_Rmeff         1450   1450    0.029    76.7555   
o.6jt+_CR13_meffIncl      107    107     0.00214  5.66403   
