# search for squarks and gluinos
# 0 leptons, 2-6 jets, MET
# only Meff, no jigsaw
# Moriond 2017, 40/fb

Inputfile:
XSect:           1.01 fb
 Error:          0 fb
MCEvents:        50000
 SumOfWeights:   50000
 SumOfWeights2:  50000
 NormEvents:     36.461

Cut                      Sum_W  Sum_W2  Acc      N_Norm     
4j-1400_11_aplanarity    14583  14583   0.29166  10.6342    
4j-1400_12_METrelative   8237   8237    0.16474  6.00659    
4j-1400_13_Meff          8236   8236    0.16472  6.00586    
4j-1800_06_jetmulti      42763  42763   0.85526  31.1836    
4j-1800_07_dPhilow       34424  34424   0.68848  25.1027    
4j-1800_08_dPhihigh      25573  25573   0.51146  18.6483    
4j-1800_09_PTjets        22808  22808   0.45616  16.632     
4j-1800_10_Etajets       20858  20858   0.41716  15.2101    
4j-1800_11_aplanarity    14583  14583   0.29166  10.6342    
4j-1800_12_METrelative   8237   8237    0.16474  6.00659    
4j-1800_13_Meff          8149   8149    0.16298  5.94241    
4j-2200_06_jetmulti      42763  42763   0.85526  31.1836    
4j-2200_07_dPhilow       34424  34424   0.68848  25.1027    
4j-2200_08_dPhihigh      25573  25573   0.51146  18.6483    
4j-2200_09_PTjets        22808  22808   0.45616  16.632     
4j-2200_10_Etajets       20858  20858   0.41716  15.2101    
4j-2200_11_aplanarity    14583  14583   0.29166  10.6342    
4j-2200_12_METrelative   8237   8237    0.16474  6.00659    
4j-2200_13_Meff          7804   7804    0.15608  5.69083    
4j-2600_06_jetmulti      42763  42763   0.85526  31.1836    
4j-2600_07_dPhilow       34424  34424   0.68848  25.1027    
4j-2600_08_dPhihigh      25573  25573   0.51146  18.6483    
4j-2600_09_PTjets        18950  18950   0.379    13.8187    
4j-2600_10_Etajets       17700  17700   0.354    12.9072    
4j-2600_11_aplanarity    12901  12901   0.25802  9.40767    
4j-2600_12_METrelative   9289   9289    0.18578  6.77372    
4j-2600_13_Meff          7878   7878    0.15756  5.7448     
4j-3000_06_jetmulti      42763  42763   0.85526  31.1836    
4j-3000_07_dPhilow       34424  34424   0.68848  25.1027    
4j-3000_08_dPhihigh      25573  25573   0.51146  18.6483    
4j-3000_09_PTjets        18950  18950   0.379    13.8187    
4j-3000_10_Etajets       17700  17700   0.354    12.9072    
4j-3000_11_aplanarity    12901  12901   0.25802  9.40767    
4j-3000_12_METrelative   9289   9289    0.18578  6.77372    
4j-3000_13_Meff          5996   5996    0.11992  4.3724     
5j-1600_06_jetmulti      33379  33379   0.66758  24.3406    
5j-1600_07_dPhilow       26823  26823   0.53646  19.5599    
5j-1600_08_dPhihigh      22556  22556   0.45112  16.4483    
5j-1600_09_PTjets        22556  22556   0.45112  16.4483    
5j-1600_10_Etajets       22556  22556   0.45112  16.4483    
5j-1600_11_aplanarity    9695   9695    0.1939   7.06979    
5j-1600_12_METrelative   8325   8325    0.1665   6.07076    
5j-1600_13_Meff          8305   8305    0.1661   6.05617    
5j-1700_06_jetmulti      33379  33379   0.66758  24.3406    
5j-1700_07_dPhilow       26823  26823   0.53646  19.5599    
5j-1700_08_dPhihigh      22556  22556   0.45112  16.4483    
5j-1700_09_PTjets        16357  16357   0.32714  11.9279    
5j-1700_10_Etajets       16357  16357   0.32714  11.9279    
5j-1700_11_aplanarity    16357  16357   0.32714  11.9279    
5j-1700_12_METrelative   4718   4718    0.09436  3.44046    
5j-1700_13_Meff          4718   4718    0.09436  3.44046    
5j-2000_06_jetmulti      33379  33379   0.66758  24.3406    
5j-2000_07_dPhilow       26823  26823   0.53646  19.5599    
5j-2000_08_dPhihigh      18846  18846   0.37692  13.7429    
