# search for squarks and gluinos in MET_jet final states

Inputfile:
XSect:           1000 fb
 Error:          0 fb
MCEvents:        50000
 SumOfWeights:   50000
 SumOfWeights2:  50000
 NormEvents:     139000

Cut                     Sum_W  Sum_W2  Acc      N_Norm   
00_all                  50000  50000   1        139000   
01_Preselection         36086  36086   0.72172  100319   
2j-1600_02_jetmulti     36086  36086   0.72172  100319   
2j-1600_03_dPhilow      29185  29185   0.5837   81134.3  
2j-1600_04_dPhihigh     27827  27827   0.55654  77359.1  
2j-1600_05_PTjets       16443  16443   0.32886  45711.5  
2j-1600_06_Etajets      16057  16057   0.32114  44638.5  
2j-1600_07_aplanarity   16057  16057   0.32114  44638.5  
2j-1600_08_METrelative  10586  10586   0.21172  29429.1  
2j-1600_09_Meff         6796   6796    0.13592  18892.9  
2j-2200_02_jetmulti     36086  36086   0.72172  100319   
2j-2200_03_dPhilow      32714  32714   0.65428  90944.9  
2j-2200_04_dPhihigh     31869  31869   0.63738  88595.8  
2j-2200_05_PTjets       9584   9584    0.19168  26643.5  
2j-2200_06_Etajets      9584   9584    0.19168  26643.5  
2j-2200_07_aplanarity   9584   9584    0.19168  26643.5  
2j-2200_08_METrelative  6298   6298    0.12596  17508.4  
2j-2200_09_Meff         1759   1759    0.03518  4890.02  
2j-2800_02_jetmulti     36086  36086   0.72172  100319   
2j-2800_03_dPhilow      29185  29185   0.5837   81134.3  
2j-2800_04_dPhihigh     27827  27827   0.55654  77359.1  
2j-2800_05_PTjets       16443  16443   0.32886  45711.5  
2j-2800_06_Etajets      12487  12487   0.24974  34713.9  
2j-2800_07_aplanarity   12487  12487   0.24974  34713.9  
2j-2800_08_METrelative  8212   8212    0.16424  22829.4  
2j-2800_09_Meff         241    241     0.00482  669.98   
4j-1000_02_jetmulti     14258  14258   0.28516  39637.2  
4j-1000_03_dPhilow      12668  12668   0.25336  35217    
4j-1000_04_dPhihigh     11071  11071   0.22142  30777.4  
4j-1000_05_PTjets       4202   4202    0.08404  11681.6  
4j-1000_06_Etajets      3283   3283    0.06566  9126.74  
4j-1000_07_aplanarity   2147   2147    0.04294  5968.66  
4j-1000_08_METrelative  1215   1215    0.0243   3377.7   
4j-1000_09_Meff         1215   1215    0.0243   3377.7   
4j-2200_02_jetmulti     14258  14258   0.28516  39637.2  
4j-2200_03_dPhilow      12668  12668   0.25336  35217    
4j-2200_04_dPhihigh     11071  11071   0.22142  30777.4  
4j-2200_05_PTjets       4202   4202    0.08404  11681.6  
4j-2200_06_Etajets      3283   3283    0.06566  9126.74  
4j-2200_07_aplanarity   2147   2147    0.04294  5968.66  
4j-2200_08_METrelative  1215   1215    0.0243   3377.7   
4j-2200_09_Meff         413    413     0.00826  1148.14  
4j-3400_02_jetmulti     14258  14258   0.28516  39637.2  
4j-3400_03_dPhilow      12668  12668   0.25336  35217    
4j-3400_04_dPhihigh     11071  11071   0.22142  30777.4  
4j-3400_05_PTjets       4202   4202    0.08404  11681.6  
4j-3400_06_Etajets      3283   3283    0.06566  9126.74  
4j-3400_07_aplanarity   2147   2147    0.04294  5968.66  
4j-3400_08_METrelative  1972   1972    0.03944  5482.16  
4j-3400_09_Meff         21     21      0.00042  58.38    
5j-1600_02_jetmulti     6023   6023    0.12046  16743.9  
5j-1600_03_dPhilow      5325   5325    0.1065   14803.5  
5j-1600_04_dPhihigh     4799   4799    0.09598  13341.2  
5j-1600_05_PTjets       1245   1245    0.0249   3461.1   
5j-1600_06_Etajets      1245   1245    0.0249   3461.1   
5j-1600_07_aplanarity   1245   1245    0.0249   3461.1   
5j-1600_08_METrelative  686    686     0.01372  1907.08  
5j-1600_09_Meff         684    684     0.01368  1901.52  
6j-1000_02_jetmulti     2038   2038    0.04076  5665.64  
6j-1000_03_dPhilow      1798   1798    0.03596  4998.44  
6j-1000_04_dPhihigh     1542   1542    0.03084  4286.76  
6j-1000_05_PTjets       484    484     0.00968  1345.52  
6j-1000_06_Etajets      326    326     0.00652  906.28   
6j-1000_07_aplanarity   169    169     0.00338  469.82   
6j-1000_08_METrelative  81     81      0.00162  225.18   
6j-1000_09_Meff         81     81      0.00162  225.18   
6j-2200_02_jetmulti     2038   2038    0.04076  5665.64  
6j-2200_03_dPhilow      1798   1798    0.03596  4998.44  
6j-2200_04_dPhihigh     1542   1542    0.03084  4286.76  
6j-2200_05_PTjets       484    484     0.00968  1345.52  
6j-2200_06_Etajets      326    326     0.00652  906.28   
6j-2200_07_aplanarity   169    169     0.00338  469.82   
6j-2200_08_METrelative  81     81      0.00162  225.18   
6j-2200_09_Meff         52     52      0.00104  144.56   
6j-3400_02_jetmulti     2038   2038    0.04076  5665.64  
6j-3400_03_dPhilow      1798   1798    0.03596  4998.44  
6j-3400_04_dPhihigh     1542   1542    0.03084  4286.76  
6j-3400_05_PTjets       484    484     0.00968  1345.52  
6j-3400_06_Etajets      326    326     0.00652  906.28   
6j-3400_07_aplanarity   169    169     0.00338  469.82   
6j-3400_08_METrelative  146    146     0.00292  405.88   
6j-3400_09_Meff         5      5       0.0001   13.9     
