# ATLAS
# ATLAS-1405-7875
# 0 lepton, 2-6 jets, etmiss
# sqrt(s) = 8 TeV
# int(L) = 20.3 fb^-1

Inputfile:
XSect:           0.714083 fb
 Error:          0 fb
MCEvents:        50000
 SumOfWeights:   50000
 SumOfWeights2:  50000
 NormEvents:     14.4379

Cut                       Sum_W  Sum_W2  Acc      N_Norm    
m.6jm_CR05_PT5J           26526  26526   0.53052  7.6596    
m.6jm_CR06_PT6J           12198  12198   0.24396  3.52227   
m.6jm_CR07_dphiMin2J3J    9730   9730    0.1946   2.80962   
m.6jm_CR08_dphiMinMoreJ   7745   7745    0.1549   2.23643   
m.6jm_CR12_Rmeff          4737   4737    0.09474  1.36785   
m.6jm_CR13_meffIncl       4727   4727    0.09454  1.36496   
n.6jt_CR01_all            50000  50000   1        14.4379   
n.6jt_CR02_missETjetsPT   46052  46052   0.92104  13.2979   
n.6jt_CR03_PT3J           45757  45757   0.91514  13.2127   
n.6jt_CR04_PT4J           41787  41787   0.83574  12.0663   
n.6jt_CR05_PT5J           26526  26526   0.53052  7.6596    
n.6jt_CR06_PT6J           12198  12198   0.24396  3.52227   
n.6jt_CR07_dphiMin2J3J    9730   9730    0.1946   2.80962   
n.6jt_CR08_dphiMinMoreJ   7745   7745    0.1549   2.23643   
n.6jt_CR12_Rmeff          3168   3168    0.06336  0.914785  
n.6jt_CR13_meffIncl       3106   3106    0.06212  0.896882  
o.6jt+_CR01_all           50000  50000   1        14.4379   
o.6jt+_CR02_missETjetsPT  46052  46052   0.92104  13.2979   
o.6jt+_CR03_PT3J          45757  45757   0.91514  13.2127   
o.6jt+_CR04_PT4J          41787  41787   0.83574  12.0663   
o.6jt+_CR05_PT5J          26526  26526   0.53052  7.6596    
o.6jt+_CR06_PT6J          12198  12198   0.24396  3.52227   
o.6jt+_CR07_dphiMin2J3J   9730   9730    0.1946   2.80962   
o.6jt+_CR08_dphiMinMoreJ  7745   7745    0.1549   2.23643   
o.6jt+_CR12_Rmeff         6161   6161    0.12322  1.77904   
o.6jt+_CR13_meffIncl      5728   5728    0.11456  1.65401   
