# ATLAS
# ATLAS-1405-7875
# 0 lepton, 2-6 jets, etmiss
# sqrt(s) = 8 TeV
# int(L) = 20.3 fb^-1

Inputfile:
XSect:           3543.38 fb
 Error:          0 fb
MCEvents:        20000
 SumOfWeights:   20000.3
 SumOfWeights2:  20000.5
 NormEvents:     71642.9

Cut                       Sum_W    Sum_W2   Acc          N_Norm   
m.6jm_CR01_all            20000.3  20000.5  1            71642.9  
m.6jm_CR02_missETjetsPT   5493.04  5493.09  0.274649     19676.6  
m.6jm_CR03_PT3J           2418.01  2418.02  0.120899     8661.55  
m.6jm_CR04_PT4J           746      746      0.0372995    2672.24  
m.6jm_CR05_PT5J           173      173      0.00864989   619.703  
m.6jm_CR06_PT6J           32       32       0.00159998   114.627  
m.6jm_CR07_dphiMin2J3J    29       29       0.00144998   103.881  
m.6jm_CR08_dphiMinMoreJ   23       23       0.00114998   82.3882  
m.6jm_CR12_Rmeff          20       20       0.000999987  71.6419  
m.6jm_CR13_meffIncl       8        8        0.000399995  28.6568  
n.6jt_CR01_all            20000.3  20000.5  1            71642.9  
n.6jt_CR02_missETjetsPT   5493.04  5493.09  0.274649     19676.6  
n.6jt_CR03_PT3J           2418.01  2418.02  0.120899     8661.55  
n.6jt_CR04_PT4J           746      746      0.0372995    2672.24  
n.6jt_CR05_PT5J           173      173      0.00864989   619.703  
n.6jt_CR06_PT6J           32       32       0.00159998   114.627  
n.6jt_CR07_dphiMin2J3J    29       29       0.00144998   103.881  
n.6jt_CR08_dphiMinMoreJ   23       23       0.00114998   82.3882  
n.6jt_CR12_Rmeff          12       12       0.000599992  42.9852  
n.6jt_CR13_meffIncl       4        4        0.000199997  14.3284  
o.6jt+_CR01_all           20000.3  20000.5  1            71642.9  
o.6jt+_CR02_missETjetsPT  5493.04  5493.09  0.274649     19676.6  
o.6jt+_CR03_PT3J          2418.01  2418.02  0.120899     8661.55  
o.6jt+_CR04_PT4J          746      746      0.0372995    2672.24  
o.6jt+_CR05_PT5J          173      173      0.00864989   619.703  
o.6jt+_CR06_PT6J          32       32       0.00159998   114.627  
o.6jt+_CR07_dphiMin2J3J   29       29       0.00144998   103.881  
o.6jt+_CR08_dphiMinMoreJ  23       23       0.00114998   82.3882  
o.6jt+_CR12_Rmeff         23       23       0.00114998   82.3882  
o.6jt+_CR13_meffIncl      2        2        9.99987e-05  7.16419  
