# search for squarks and gluinos
# 0 leptons, 2-6 jets, MET
# only Meff, no jigsaw
# Moriond 2017, 40/fb

Inputfile:
XSect:           2.08 fb
 Error:          0 fb
MCEvents:        50000
 SumOfWeights:   50683.9
 SumOfWeights2:  54165.3
 NormEvents:     75.088

Cut                      Sum_W    Sum_W2   Acc         N_Norm    
4j-1000_11_aplanarity    1556     1556     0.0307001   2.30521   
4j-1000_12_METrelative   1067     1067     0.0210521   1.58076   
4j-1000_13_Meff          1067     1067     0.0210521   1.58076   
4j-1400_06_jetmulti      23579    23587.5  0.465216    34.9322   
4j-1400_07_dPhilow       20664.5  20672.2  0.407713    30.6143   
4j-1400_08_dPhihigh      17443.1  17450.2  0.344154    25.8418   
4j-1400_09_PTjets        8075     8075     0.159321    11.9631   
4j-1400_10_Etajets       6416     6416     0.126589    9.50528   
4j-1400_11_aplanarity    3607     3607     0.0711666   5.34376   
4j-1400_12_METrelative   2970     2970     0.0585985   4.40005   
4j-1400_13_Meff          2935     2935     0.057908    4.34819   
4j-1800_06_jetmulti      23579    23587.5  0.465216    34.9322   
4j-1800_07_dPhilow       20664.5  20672.2  0.407713    30.6143   
4j-1800_08_dPhihigh      17443.1  17450.2  0.344154    25.8418   
4j-1800_09_PTjets        8075     8075     0.159321    11.9631   
4j-1800_10_Etajets       6416     6416     0.126589    9.50528   
4j-1800_11_aplanarity    3607     3607     0.0711666   5.34376   
4j-1800_12_METrelative   2970     2970     0.0585985   4.40005   
4j-1800_13_Meff          2730     2730     0.0538633   4.04449   
4j-2200_06_jetmulti      23579    23587.5  0.465216    34.9322   
4j-2200_07_dPhilow       20664.5  20672.2  0.407713    30.6143   
4j-2200_08_dPhihigh      17443.1  17450.2  0.344154    25.8418   
4j-2200_09_PTjets        8075     8075     0.159321    11.9631   
4j-2200_10_Etajets       6416     6416     0.126589    9.50528   
4j-2200_11_aplanarity    3607     3607     0.0711666   5.34376   
4j-2200_12_METrelative   2970     2970     0.0585985   4.40005   
4j-2200_13_Meff          2249     2249     0.0443731   3.33189   
4j-2600_06_jetmulti      23579    23587.5  0.465216    34.9322   
4j-2600_07_dPhilow       20664.5  20672.2  0.407713    30.6143   
4j-2600_08_dPhihigh      17443.1  17450.2  0.344154    25.8418   
4j-2600_09_PTjets        3924     3924     0.0774211   5.81339   
4j-2600_10_Etajets       3263     3263     0.0643795   4.83412   
4j-2600_11_aplanarity    2120     2120     0.0418279   3.14077   
4j-2600_12_METrelative   1891     1891     0.0373097   2.80151   
4j-2600_13_Meff          1159     1159     0.0228672   1.71705   
4j-3000_06_jetmulti      23579    23587.5  0.465216    34.9322   
4j-3000_07_dPhilow       20664.5  20672.2  0.407713    30.6143   
4j-3000_08_dPhihigh      17443.1  17450.2  0.344154    25.8418   
4j-3000_09_PTjets        3924     3924     0.0774211   5.81339   
4j-3000_10_Etajets       3263     3263     0.0643795   4.83412   
4j-3000_11_aplanarity    2120     2120     0.0418279   3.14077   
4j-3000_12_METrelative   1891     1891     0.0373097   2.80151   
4j-3000_13_Meff          737      737      0.0145411   1.09186   
5j-1600_06_jetmulti      11639.9  11641.2  0.229657    17.2445   
5j-1600_07_dPhilow       10195.4  10196    0.201157    15.1045   
5j-1600_08_dPhihigh      9041.4   9041.96  0.178388    13.3948   
5j-1600_09_PTjets        9041.4   9041.96  0.178388    13.3948   
5j-1600_10_Etajets       9041.4   9041.96  0.178388    13.3948   
5j-1600_11_aplanarity    2446.4   2446.96  0.0482678   3.62433   
5j-1600_12_METrelative   2380.4   2380.96  0.0469656   3.52655   
5j-1600_13_Meff          2291.4   2291.96  0.0452096   3.3947    
5j-1700_06_jetmulti      11639.9  11641.2  0.229657    17.2445   
5j-1700_07_dPhilow       10195.4  10196    0.201157    15.1045   
5j-1700_08_dPhihigh      9041.4   9041.96  0.178388    13.3948   
5j-1700_09_PTjets        4424     4424     0.0872861   6.55414   
5j-1700_10_Etajets       4424     4424     0.0872861   6.55414   
5j-1700_11_aplanarity    4424     4424     0.0872861   6.55414   
5j-1700_12_METrelative   2709     2709     0.053449    4.01337   
5j-1700_13_Meff          2708     2708     0.0534292   4.01189   
5j-2000_06_jetmulti      11639.9  11641.2  0.229657    17.2445   
5j-2000_07_dPhilow       10195.4  10196    0.201157    15.1045   
5j-2000_08_dPhihigh      7978     7978     0.157407    11.8194   
5j-2000_09_PTjets        7978     7978     0.157407    11.8194   
5j-2000_10_Etajets       7978     7978     0.157407    11.8194   
5j-2000_11_aplanarity    7978     7978     0.157407    11.8194   
5j-2000_12_METrelative   5921     5921     0.116822    8.77194   
5j-2000_13_Meff          4895     4895     0.096579    7.25193   
5j-2600_06_jetmulti      11639.9  11641.2  0.229657    17.2445   
5j-2600_07_dPhilow       8656.4   8656.96  0.170792    12.8244   
5j-2600_08_dPhihigh      6828     6828     0.134717    10.1157   
5j-2600_09_PTjets        6828     6828     0.134717    10.1157   
5j-2600_10_Etajets       6828     6828     0.134717    10.1157   
5j-2600_11_aplanarity    6828     6828     0.134717    10.1157   
5j-2600_12_METrelative   4637     4637     0.0914887   6.8697    
5j-2600_13_Meff          2422     2422     0.0477864   3.58819   
6j-1200_06_jetmulti      4728     4728     0.0932841   7.00452   
6j-1200_07_dPhilow       4108     4108     0.0810514   6.08599   
6j-1200_08_dPhihigh      3492     3492     0.0688977   5.17339   
6j-1200_09_PTjets        3492     3492     0.0688977   5.17339   
6j-1200_10_Etajets       2114     2114     0.0417095   3.13188   
6j-1200_11_aplanarity    2114     2114     0.0417095   3.13188   
6j-1200_12_METrelative   1559     1559     0.0307593   2.30965   
6j-1200_13_Meff          1556     1556     0.0307001   2.30521   
6j-1800_06_jetmulti      4728     4728     0.0932841   7.00452   
6j-1800_07_dPhilow       4108     4108     0.0810514   6.08599   
6j-1800_08_dPhihigh      3492     3492     0.0688977   5.17339   
6j-1800_09_PTjets        555      555      0.0109502   0.822231  
6j-1800_10_Etajets       381      381      0.00751718  0.56445   
6j-1800_11_aplanarity    302      302      0.0059585   0.447412  
6j-1800_12_METrelative   240      240      0.00473523  0.355559  
6j-1800_13_Meff          232      232      0.00457739  0.343707  
6j-2200_06_jetmulti      4728     4728     0.0932841   7.00452   
6j-2200_07_dPhilow       4108     4108     0.0810514   6.08599   
6j-2200_08_dPhihigh      3492     3492     0.0688977   5.17339   
6j-2200_09_PTjets        555      555      0.0109502   0.822231  
6j-2200_10_Etajets       555      555      0.0109502   0.822231  
6j-2200_11_aplanarity    275      275      0.00542579  0.407412  
6j-2200_12_METrelative   224      224      0.00441955  0.331855  
6j-2200_13_Meff          198      198      0.00390657  0.293336  
6j-2600_06_jetmulti      4728     4728     0.0932841   7.00452   
6j-2600_07_dPhilow       4108     4108     0.0810514   6.08599   
6j-2600_08_dPhihigh      3492     3492     0.0688977   5.17339   
6j-2600_09_PTjets        555      555      0.0109502   0.822231  
6j-2600_10_Etajets       555      555      0.0109502   0.822231  
6j-2600_11_aplanarity    275      275      0.00542579  0.407412  
6j-2600_12_METrelative   254      254      0.00501146  0.3763    
6j-2600_13_Meff          177      177      0.00349224  0.262225  
