1763	1763	1763	1763	1763
1763	1741.3	1763	1763	1763
1433	1490.4	1425.59 	1425.242993	1425.981106
1377	1417.6	1359.09 	1359.776391	1360.257451
853	903.1	809.84 	780.3385129	780.5755981
835	882.7	791.89 	762.9197206	763.2286074
568	590.9	522.31 	505.0280713	506.3956905
366	403.4	334.54 	316.7141705	318.7168443
1603	1708.7	1599.310568	1600.405121	1599.840833
1567	1662.5	1558.29059	1560.326312	1559.708862
509	545.5	469.9237755	445.5625746	444.0829611
337	361.1	309.4167599	296.2363733	295.1717154
101	111.2	86.49143401	80.6057535	80.53681511
1433	1490.4	1425.585787	1425.242993	1425.981106
1377	1417.6	1359.086956	1359.776391	1360.257451
853	903.1	809.8370635	780.3385129	780.5755981
655	679.8	611.5901062	588.751282	588.9400787
439	453.6	401.9801659	388.103941	389.098848
15.6	15.3	12.35870829	10.65780691	10.91496042
