# search for squarks and gluinos in MET_jet final states

Inputfile:
XSect:           1000 fb
 Error:          0 fb
MCEvents:        50000
 SumOfWeights:   50000
 SumOfWeights2:  50000
 NormEvents:     139000

Cut                     Sum_W  Sum_W2  Acc      N_Norm   
00_all                  50000  50000   1        139000   
01_Preselection         14309  14309   0.28618  39779    
2j-1600_02_jetmulti     14309  14309   0.28618  39779    
2j-1600_03_dPhilow      10430  10430   0.2086   28995.4  
2j-1600_04_dPhihigh     7680   7680    0.1536   21350.4  
2j-1600_05_PTjets       2301   2301    0.04602  6396.78  
2j-1600_06_Etajets      2258   2258    0.04516  6277.24  
2j-1600_07_aplanarity   2258   2258    0.04516  6277.24  
2j-1600_08_METrelative  693    693     0.01386  1926.54  
2j-1600_09_Meff         576    576     0.01152  1601.28  
2j-2200_02_jetmulti     14309  14309   0.28618  39779    
2j-2200_03_dPhilow      12427  12427   0.24854  34547.1  
2j-2200_04_dPhihigh     10641  10641   0.21282  29582    
2j-2200_05_PTjets       824    824     0.01648  2290.72  
2j-2200_06_Etajets      824    824     0.01648  2290.72  
2j-2200_07_aplanarity   824    824     0.01648  2290.72  
2j-2200_08_METrelative  343    343     0.00686  953.54   
2j-2200_09_Meff         230    230     0.0046   639.4    
2j-2800_02_jetmulti     14309  14309   0.28618  39779    
2j-2800_03_dPhilow      10430  10430   0.2086   28995.4  
2j-2800_04_dPhihigh     7680   7680    0.1536   21350.4  
2j-2800_05_PTjets       2301   2301    0.04602  6396.78  
2j-2800_06_Etajets      1926   1926    0.03852  5354.28  
2j-2800_07_aplanarity   1926   1926    0.03852  5354.28  
2j-2800_08_METrelative  580    580     0.0116   1612.4   
2j-2800_09_Meff         40     40      0.0008   111.2    
4j-1000_02_jetmulti     14059  14059   0.28118  39084    
4j-1000_03_dPhilow      12204  12204   0.24408  33927.1  
4j-1000_04_dPhihigh     8929   8929    0.17858  24822.6  
4j-1000_05_PTjets       6168   6168    0.12336  17147    
4j-1000_06_Etajets      5704   5704    0.11408  15857.1  
4j-1000_07_aplanarity   5008   5008    0.10016  13922.2  
4j-1000_08_METrelative  1560   1560    0.0312   4336.8   
4j-1000_09_Meff         1560   1560    0.0312   4336.8   
4j-2200_02_jetmulti     14059  14059   0.28118  39084    
4j-2200_03_dPhilow      12204  12204   0.24408  33927.1  
4j-2200_04_dPhihigh     8929   8929    0.17858  24822.6  
4j-2200_05_PTjets       6168   6168    0.12336  17147    
4j-2200_06_Etajets      5704   5704    0.11408  15857.1  
4j-2200_07_aplanarity   5008   5008    0.10016  13922.2  
4j-2200_08_METrelative  1560   1560    0.0312   4336.8   
4j-2200_09_Meff         181    181     0.00362  503.18   
4j-3400_02_jetmulti     14059  14059   0.28118  39084    
4j-3400_03_dPhilow      12204  12204   0.24408  33927.1  
4j-3400_04_dPhihigh     8929   8929    0.17858  24822.6  
4j-3400_05_PTjets       6168   6168    0.12336  17147    
4j-3400_06_Etajets      5704   5704    0.11408  15857.1  
4j-3400_07_aplanarity   5008   5008    0.10016  13922.2  
4j-3400_08_METrelative  4375   4375    0.0875   12162.5  
4j-3400_09_Meff         10     10      0.0002   27.8     
5j-1600_02_jetmulti     12986  12986   0.25972  36101.1  
5j-1600_03_dPhilow      11259  11259   0.22518  31300    
5j-1600_04_dPhihigh     9511   9511    0.19022  26440.6  
5j-1600_05_PTjets       744    744     0.01488  2068.32  
5j-1600_06_Etajets      744    744     0.01488  2068.32  
5j-1600_07_aplanarity   744    744     0.01488  2068.32  
5j-1600_08_METrelative  300    300     0.006    834      
5j-1600_09_Meff         300    300     0.006    834      
6j-1000_02_jetmulti     10497  10497   0.20994  29181.7  
6j-1000_03_dPhilow      9085   9085    0.1817   25256.3  
6j-1000_04_dPhihigh     7498   7498    0.14996  20844.4  
6j-1000_05_PTjets       4123   4123    0.08246  11461.9  
6j-1000_06_Etajets      3421   3421    0.06842  9510.38  
6j-1000_07_aplanarity   2358   2358    0.04716  6555.24  
6j-1000_08_METrelative  591    591     0.01182  1642.98  
6j-1000_09_Meff         591    591     0.01182  1642.98  
6j-2200_02_jetmulti     10497  10497   0.20994  29181.7  
6j-2200_03_dPhilow      9085   9085    0.1817   25256.3  
6j-2200_04_dPhihigh     7498   7498    0.14996  20844.4  
6j-2200_05_PTjets       4123   4123    0.08246  11461.9  
6j-2200_06_Etajets      3421   3421    0.06842  9510.38  
6j-2200_07_aplanarity   2358   2358    0.04716  6555.24  
6j-2200_08_METrelative  591    591     0.01182  1642.98  
6j-2200_09_Meff         101    101     0.00202  280.78   
6j-3400_02_jetmulti     10497  10497   0.20994  29181.7  
6j-3400_03_dPhilow      9085   9085    0.1817   25256.3  
6j-3400_04_dPhihigh     7498   7498    0.14996  20844.4  
6j-3400_05_PTjets       4123   4123    0.08246  11461.9  
6j-3400_06_Etajets      3421   3421    0.06842  9510.38  
6j-3400_07_aplanarity   2358   2358    0.04716  6555.24  
6j-3400_08_METrelative  1962   1962    0.03924  5454.36  
6j-3400_09_Meff         10     10      0.0002   27.8     
